index,cleaned_job_title,senior,min_salary_estimate,max_salary_estimate,average_salary,cleaned_company_name,rating,location_city,location_state,headquarters_city,headquarters_state,same_state,size,founded,type_of_ownership,industry,sector,revenue,python,r_skills,sql_skills,spark,hadoop,tableau,excel,aws,azure,tensorflow,keras,pytorch,sas
454,"Data Scientist",0,69,116,92.50,"MoTek Technologies",3.1,"Mountain View",CA,"San Jose",CA,1,"1 to 50 employees",2009,"Company - Private","IT Services","Information Technology","$1 to $5 million (USD)",1,0,1,0,0,0,1,0,0,0,0,0,0
455,"Data Scientist",0,69,116,92.50,"The Davey Tree Expert Company",3.3,Kent,OH,Kent,OH,1,"10000+ employees",1880,Self-employed,"Timber Operations","Agriculture & Forestry","$1 to $2 billion (USD)",1,1,1,0,0,0,1,0,0,0,0,0,0
456,"Data Scientist",0,69,116,92.50,HPOne,3.5,Trumbull,CT,Trumbull,CT,1,"501 to 1000 employees",2006,"Company - Private","Insurance Carriers",Insurance,"$50 to $100 million (USD)",1,1,0,0,0,1,1,0,0,0,0,0,1
457,"Data Scientist",0,69,116,92.50,"Stride Search",NULL,"San Francisco",CA,"Westlake Village",CA,1,"1 to 50 employees",NULL,"Company - Private",NULL,NULL,"Less than $1 million (USD)",1,1,0,0,0,0,0,0,0,0,0,0,0
458,"Machine Learning Engineer",0,69,116,92.50,"Software Engineering Institute",2.6,Pittsburgh,PA,Pittsburgh,PA,1,"501 to 1000 employees",1984,"College / University","Colleges & Universities",Education,"Unknown / Non-Applicable",1,0,0,0,0,0,0,0,0,1,0,1,0
459,"Data Scientist",0,69,116,92.50,"Blue Cloak LLC",NULL,Sterling,VA,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,1,1,1,0,1,0,1,1,0,0
460,"Data Scientist",0,69,116,92.50,TBWAChiatDay,2.7,"New York",NY,"New York",NY,1,"1001 to 5000 employees",1968,"Company - Public","Advertising & Marketing","Business Services","$100 to $500 million (USD)",1,1,1,0,0,1,1,0,0,0,0,0,0
461,"Data Scientist",0,69,116,92.50,"ThreeBridge Solutions",3.5,Alpharetta,GA,Minneapolis,MN,0,"501 to 1000 employees",2009,"Company - Private",Consulting,"Business Services","Unknown / Non-Applicable",1,0,1,0,0,0,0,0,0,1,0,0,0
462,"Data Scientist",0,69,116,92.50,"Numeric, LLC",3.2,Philadelphia,PA,"Chadds Ford",PA,1,"1 to 50 employees",NULL,"Company - Private","Staffing & Outsourcing","Business Services","$5 to $10 million (USD)",1,0,1,1,1,0,0,1,0,0,0,0,0
463,"Data Analyst",0,69,116,92.50,Dermalogica,3.8,Carson,CA,Carson,CA,1,"201 to 500 employees",1986,"Subsidiary or Business Segment","Consumer Products Manufacturing",Manufacturing,"$100 to $500 million (USD)",1,1,1,0,0,1,0,0,0,0,0,0,1
464,"Data Scientist",0,69,116,92.50,Centraprise,4.2,"Foster City",CA,Edison,NJ,0,"51 to 200 employees",NULL,"Company - Private","IT Services","Information Technology","Less than $1 million (USD)",1,1,1,0,0,0,0,0,0,0,0,0,0
465,"Data Scientist",0,69,116,92.50,TechProjects,4.8,"New York",NY,"North Brunswick",NJ,0,"1 to 50 employees",2011,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable",1,1,1,0,0,1,1,0,0,0,0,0,0
466,"Data Scientist",0,69,116,92.50,"DW Simpson",4.2,Frederick,MD,Chicago,IL,0,"51 to 200 employees",1989,"Company - Private","Staffing & Outsourcing","Business Services","$10 to $25 million (USD)",1,1,1,0,0,1,1,0,0,0,0,0,0
467,"Machine Learning Engineer",0,31,56,43.50,"Tempus Labs",3.3,Chicago,IL,Chicago,IL,1,"501 to 1000 employees",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable",1,0,1,0,0,0,0,1,0,1,0,1,0
468,"Data Scientist",0,31,56,43.50,"Grid Dynamics",4,"Santa Clara",CA,"San Ramon",CA,1,"1001 to 5000 employees",2006,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$50 to $100 million (USD)",1,0,1,0,0,1,1,0,0,0,0,0,1
469,"Vice President Role",0,31,56,43.50,"7Park Data",3.9,"New York",NY,"New York",NY,1,"51 to 200 employees",2012,"Company - Private","Research & Development","Business Services","Unknown / Non-Applicable",1,1,0,1,0,0,1,0,0,0,0,0,0
470,"Data Analyst",1,31,56,43.50,Protolabs,3.7,"Maple Plain",MN,"Maple Plain",MN,1,"1001 to 5000 employees",1999,"Company - Public","Miscellaneous Manufacturing",Manufacturing,"$100 to $500 million (USD)",0,0,1,0,0,0,0,0,0,0,0,0,1
471,"Data Scientist",0,31,56,43.50,LinQuest,3.9,"Colorado Springs",CO,"Los Angeles",CA,0,"501 to 1000 employees",2004,"Company - Private","Aerospace & Defense","Aerospace & Defense","$50 to $100 million (USD)",1,1,1,0,0,1,1,0,0,0,0,0,0
